ts,flow_cfm,Q_Lps,co2_iaq_ppm,co2_fpb_ppm,co2_ppm,people_est,people_est_rounded,people_est_smooth_5min,people_est_smooth_5min_rounded
2026-04-01 00:15:57,1832.6107177734373,864.8959550958434,557.0,490.0,557.0,23.134130440457113,23,22.029474136416123,22
2026-04-01 00:16:27,1851.512939453125,873.8168104169067,556.0,489.0,556.0,23.177971509590858,23,22.12469253511059,22
2026-04-01 00:16:57,1825.27001953125,861.4315312792236,556.0,488.0,556.0,22.849452255246703,23,22.143921072965256,22
2026-04-01 00:18:57,1848.9774169921875,872.6201770570495,557.0,487.0,557.0,23.34073697775071,23,22.99179134785191,23
2026-04-01 00:19:57,1789.937255859375,844.7563235628296,557.0,487.0,557.0,22.595438057676976,23,23.134130440457113,23
2026-04-01 00:20:27,1812.3782958984373,855.347315184613,557.0,487.0,557.0,22.878724596628327,23,23.006427518542722,23
2026-04-01 00:20:57,1842.88330078125,869.744074451294,557.0,487.0,557.0,23.263807339625256,23,23.028348053109593,23
2026-04-01 00:21:27,1821.8262939453125,859.8062737704406,557.0,486.0,557.0,22.99799227148027,23,22.9383584340543,23
2026-04-01 00:21:57,1842.559326171875,869.5911754605346,555.0,486.0,555.0,22.87205565598858,23,22.9383584340543,23
2026-04-01 00:22:27,1830.1270751953125,863.723806314386,555.0,486.0,555.0,22.71773165012011,23,22.878724596628327,23
2026-04-01 00:22:57,1816.165771484375,857.1348046293335,555.0,486.0,555.0,22.5444272083195,23,22.875390126308453,23
2026-04-01 00:24:27,1840.7320556640625,868.7287998039124,557.0,486.0,557.0,23.236650898452154,23,22.875390126308453,23
2026-04-01 00:24:57,1834.12939453125,865.6126907190674,555.0,486.0,555.0,22.76741323665268,23,22.875390126308453,23
2026-04-01 00:25:57,1841.728759765625,869.1991917630493,557.0,487.0,557.0,23.249232884616735,23,22.87205565598858,23
2026-04-01 00:27:27,1829.32421875,863.3449002623047,559.0,487.0,559.0,23.47752040049444,23,23.236650898452154,23
2026-04-01 00:27:57,1856.9473876953125,876.3815844069641,559.0,486.0,559.0,23.832035748726707,24,23.249232884616735,23
2026-04-01 00:28:27,1837.0543212890625,866.9931024438538,558.0,485.0,558.0,23.383476551653544,23,23.316354718135138,23
2026-04-01 00:28:57,1850.677734375,873.4226375100586,557.0,486.0,557.0,23.362201091074212,23,23.362201091074212,23
2026-04-01 00:29:28,1855.9007568359373,875.8876296417907,555.0,487.0,555.0,23.037665490279736,23,23.362201091074212,23
2026-04-01 00:29:57,1825.99169921875,861.772126167456,555.0,487.0,555.0,22.66639840502407,23,23.362201091074212,23
2026-04-01 00:30:27,1794.1494140625,846.744240885791,557.0,487.0,557.0,22.648610625294243,23,23.30571698784547,23
2026-04-01 00:32:27,1820.1513671875,859.0157963581543,560.0,487.0,560.0,23.55126989602989,24,23.362201091074212,23
2026-04-01 00:33:27,1830.3265380859373,863.817942316986,560.0,488.0,560.0,23.68292828466029,24,23.199933290676974,23
2026-04-01 00:33:57,1836.2987060546875,866.6364917608093,559.0,488.0,559.0,23.567030869060083,24,23.294467693154814,23
2026-04-01 00:34:27,1817.8167724609373,857.9139903301696,558.0,488.0,558.0,23.138605854733648,23,23.138605854733648,23
2026-04-01 00:34:57,1842.8248291015625,869.7164788911682,559.0,487.0,559.0,23.6507870372662,24,23.559150382544985,24
2026-04-01 00:35:27,1835.9520263671875,866.4728771663268,559.0,488.0,559.0,23.562581586996085,24,23.564806228028083,24
2026-04-01 00:35:57,1814.343505859375,856.2747910143921,556.0,488.0,556.0,22.712669834130775,23,23.562581586996085,24
2026-04-01 00:36:27,1840.191650390625,868.473756913147,556.0,488.0,556.0,23.036247133945945,23,23.556925741512988,24
2026-04-01 00:37:27,1829.78125,863.5605949953125,557.0,486.0,557.0,23.09841239302187,23,23.350593720864865,23
2026-04-01 00:38:57,1844.3734130859373,870.4473291537047,556.0,487.0,556.0,23.08859609384057,23,23.09841239302187,23
2026-04-01 00:39:27,1831.4302978515625,864.3388589237854,556.0,487.0,556.0,22.92656905651601,23,23.08859609384057,23
2026-04-01 00:40:58,1843.2890625,869.9355726597656,556.0,487.0,556.0,23.075021764192797,23,23.075021764192797,23
2026-04-01 00:41:58,1820.1846923828125,859.0315240991027,557.0,489.0,557.0,22.977269362730578,23,23.075021764192797,23
